# Configuration automatically generated by WRITE_CONFIG()
connection usb
serial 470010172
samplehz 1000.000000
settleus 10.000000
nsample 128

# Analog Inputs
aichannel 0
ainegative 199
airange 10.000000
airesolution 0

aichannel 1
ainegative 199
airange 1.000000
airesolution 0

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 10.000000
aoamplitude 2.000000
aooffset 2.500000
aoduty 0.500000

# Meta Parameters
int:periods 100
7.066832	1.010479
7.062409	1.010479
7.059882	1.010479
7.058302	1.010479
7.057354	1.010479
7.056091	1.010479
7.056407	1.010479
7.057354	1.010479
7.055459	1.010479
7.054827	1.010479
7.055143	1.010479
7.057039	1.010479
7.057671	1.010479
7.057039	1.010479
7.058618	1.010479
7.058618	1.010479
7.058302	1.010479
7.057671	1.010479
7.058302	1.010479
7.057986	1.010479
7.057671	1.010479
7.057671	1.010479
7.057354	1.010479
7.057986	1.010479
7.058618	1.010479
7.058302	1.010479
7.058934	1.010479
7.058618	1.010479
7.060197	1.010479
7.058934	1.010479
7.060197	1.010479
7.058934	1.010479
7.059566	1.010479
7.059882	1.010479
7.058934	1.010479
7.059566	1.010479
7.059566	1.010479
7.058618	1.010479
7.058302	1.010479
7.057354	1.010479
7.057986	1.010479
7.058302	1.010479
7.059250	1.010479
7.058934	1.010479
7.058618	1.010479
7.058618	1.010479
7.057986	1.010479
7.057986	1.010479
7.058302	1.010479
7.061145	1.010479
7.064936	1.010479
7.066515	1.010479
7.068411	1.010479
7.070622	1.010479
7.070938	1.010479
7.072517	1.010479
7.070938	1.010479
7.071570	1.010479
7.071570	1.010479
7.070938	1.010479
7.071570	1.010479
7.071886	1.010479
7.070938	1.010479
7.071254	1.010479
7.070938	1.010479
7.070938	1.010479
7.071254	1.010479
7.072834	1.010479
7.070306	1.010479
7.069043	1.010479
7.069043	1.010479
7.070306	1.010479
7.069043	1.010479
7.069043	1.010479
7.068727	1.010479
7.068411	1.010479
7.068411	1.010479
7.069990	1.010479
7.070622	1.010479
7.071570	1.010479
7.071254	1.010479
7.071254	1.010479
7.071570	1.010479
7.070938	1.010479
7.070622	1.010479
7.069043	1.010479
7.069674	1.010479
7.068727	1.010479
7.068411	1.010479
7.067779	1.010479
7.068727	1.010479
7.068411	1.010479
7.069043	1.010479
7.068411	1.010479
7.069358	1.010479
7.069990	1.010479
7.070622	1.010479
7.069043	1.010479
7.069358	1.010479
7.067463	1.010479
7.063988	1.010479
7.061145	1.010479
7.058934	1.010479
7.058302	1.010479
7.057039	1.010479
7.055143	1.010479
7.054512	1.010479
7.054195	1.010479
7.053564	1.010479
7.053564	1.010479
7.055459	1.010479
7.054827	1.010479
7.055143	1.010479
7.055143	1.010479
7.056407	1.010479
7.056407	1.010479
7.057671	1.010479
7.057671	1.010479
7.057039	1.010479
7.058934	1.010479
7.058618	1.010479
7.057986	1.010479
7.057671	1.010479
7.058302	1.010479
7.057354	1.010479
7.056407	1.010479
7.057039	1.010479
7.057986	1.010479
7.056091	1.010479
7.055775	1.010479
7.056407	1.010479
7.057354	1.010479
7.057354	1.010479
7.058302	1.010479
7.059250	1.010479
7.059882	1.010479
7.058302	1.010479
7.057986	1.010479
7.058934	1.010479
7.057671	1.010479
7.057039	1.010479
7.058302	1.010479
7.058302	1.010479
7.057039	1.010479
7.057039	1.010479
7.057039	1.010479
7.058934	1.010479
7.058934	1.010479
7.059882	1.010479
7.062093	1.010479
7.064620	1.010479
7.067147	1.010479
7.069043	1.010479
7.069358	1.010479
7.069674	1.010479
7.072834	1.010479
7.071886	1.010479
7.072202	1.010479
7.073149	1.010479
7.072202	1.010479
7.071570	1.010479
7.069990	1.010479
7.071254	1.010479
7.071570	1.010479
7.070938	1.010479
7.071570	1.010479
7.072202	1.010479
7.071570	1.010479
7.071254	1.010479
7.072202	1.010479
7.071254	1.010479
7.070622	1.010479
7.069358	1.010479
7.068095	1.010479
7.069990	1.010479
7.070306	1.010479
7.069358	1.010479
7.070306	1.010479
7.069674	1.010479
7.070306	1.010479
7.070306	1.010479
7.070622	1.010479
7.069358	1.010479
7.068411	1.010479
7.068411	1.010479
7.069358	1.010479
7.070306	1.010479
7.069358	1.010479
7.069674	1.010479
7.068411	1.010479
7.068411	1.010479
7.068411	1.010479
7.069043	1.010479
7.069043	1.010479
7.070306	1.010479
7.069358	1.010479
7.070938	1.010479
7.070306	1.010479
7.070938	1.010479
7.067463	1.010479
7.063988	1.010479
7.060829	1.010479
7.057986	1.010479
7.057039	1.010479
7.055775	1.010479
7.056407	1.010479
7.057354	1.010479
7.057039	1.010479
7.056091	1.010479
7.055775	1.010479
7.057039	1.010479
7.057671	1.010479
7.057986	1.010479
7.058618	1.010479
7.059566	1.010479
7.058934	1.010479
7.057039	1.010479
7.058934	1.010479
7.059882	1.010479
7.057986	1.010479
7.056091	1.010479
7.055459	1.010479
7.055775	1.010479
7.055775	1.010479
7.057671	1.010479
7.057039	1.010479
7.057986	1.010479
7.057986	1.010479
7.059566	1.010479
7.058618	1.010479
7.060197	1.010479
7.061145	1.010479
7.059566	1.010479
7.059882	1.010479
7.058934	1.010479
7.058302	1.010479
7.057671	1.010479
7.057354	1.010479
7.057354	1.010479
7.055775	1.010479
7.055775	1.010479
7.056091	1.010479
7.057671	1.010479
7.058302	1.010479
7.057039	1.010479
7.057354	1.010479
7.056723	1.010479
7.058302	1.010479
7.058618	1.010479
7.060513	1.010479
7.064620	1.010479
7.066515	1.010479
7.067779	1.010479
7.069043	1.010479
7.069990	1.010479
7.068095	1.010479
7.068727	1.010479
7.067779	1.010479
7.068727	1.010479
7.069674	1.010479
7.070306	1.010479
7.070622	1.010479
7.070306	1.010479
7.070306	1.010479
7.070306	1.010479
7.070622	1.010479
7.070938	1.010479
